epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3540.65,0.89152,0.38729,0.92563,0.98135,0.98834,0.995,0.79421,0.81757,0.30564,0.93026,8.01519e-05,8.01519e-05,8.01519e-05
65,3595.14,0.87577,0.36852,0.93815,0.98024,0.98374,0.995,0.78874,0.82272,0.29932,0.93104,7.80432e-05,7.80432e-05,7.80432e-05
66,3648.56,0.86447,0.37258,0.91254,0.97571,0.98834,0.995,0.79299,0.82379,0.29652,0.93259,7.59345e-05,7.59345e-05,7.59345e-05
67,3703.22,0.87294,0.36635,0.92382,0.97424,0.98833,0.995,0.78999,0.8217,0.29695,0.93218,7.38258e-05,7.38258e-05,7.38258e-05
68,3754.54,0.87243,0.36668,0.91461,0.97604,0.98809,0.995,0.79637,0.82283,0.29868,0.93209,7.17171e-05,7.17171e-05,7.17171e-05
69,3804.68,0.86624,0.36201,0.92555,0.97732,0.98824,0.995,0.7965,0.82401,0.29794,0.93338,6.96084e-05,6.96084e-05,6.96084e-05
70,3861.22,0.88329,0.37218,0.92818,0.96784,1,0.995,0.7929,0.82763,0.30016,0.93408,6.74997e-05,6.74997e-05,6.74997e-05
71,3913.66,0.87853,0.37182,0.92658,0.97721,1,0.995,0.79395,0.82442,0.30222,0.93296,6.5391e-05,6.5391e-05,6.5391e-05
72,3966.71,0.87158,0.37241,0.91969,0.97826,1,0.995,0.79379,0.82314,0.30217,0.93222,6.32823e-05,6.32823e-05,6.32823e-05
73,4021.65,0.86152,0.36453,0.92664,0.97317,1,0.995,0.79254,0.81647,0.30256,0.93017,6.11736e-05,6.11736e-05,6.11736e-05
74,4073.91,0.87994,0.37946,0.94312,0.96111,0.99419,0.99161,0.79834,0.8137,0.29631,0.92887,5.90649e-05,5.90649e-05,5.90649e-05
75,4127.16,0.88149,0.37168,0.92684,0.95134,1,0.995,0.79674,0.81467,0.29506,0.92894,5.69562e-05,5.69562e-05,5.69562e-05
76,4181.69,0.87805,0.36618,0.92864,0.96345,0.98822,0.995,0.79428,0.81428,0.2944,0.92861,5.48475e-05,5.48475e-05,5.48475e-05
77,4235.66,0.87859,0.36062,0.93394,0.96963,0.98804,0.995,0.79968,0.81192,0.29261,0.92856,5.27388e-05,5.27388e-05,5.27388e-05
78,4296.01,0.88306,0.36145,0.9327,0.977,0.9878,0.995,0.79895,0.80908,0.29644,0.92845,5.06301e-05,5.06301e-05,5.06301e-05
79,4376.47,0.8713,0.36303,0.93971,0.98375,0.98778,0.995,0.80482,0.81109,0.30198,0.9292,4.85214e-05,4.85214e-05,4.85214e-05
80,4428.27,0.86401,0.35377,0.91557,0.98199,0.98838,0.995,0.80155,0.81666,0.29861,0.93101,4.64127e-05,4.64127e-05,4.64127e-05
81,4476.59,0.87309,0.35677,0.91407,0.98115,0.98874,0.995,0.79367,0.81979,0.29643,0.93203,4.4304e-05,4.4304e-05,4.4304e-05
82,4527.27,0.85982,0.36343,0.92618,0.97047,1,0.995,0.79437,0.81798,0.29132,0.93111,4.21953e-05,4.21953e-05,4.21953e-05
83,4578.2,0.87634,0.35895,0.92764,0.97186,1,0.995,0.79654,0.81426,0.28602,0.92955,4.00866e-05,4.00866e-05,4.00866e-05
84,4638.84,0.86723,0.35781,0.90897,0.9736,1,0.995,0.7964,0.81542,0.28662,0.92947,3.79779e-05,3.79779e-05,3.79779e-05
85,4690.71,0.85301,0.34812,0.9278,0.96968,1,0.995,0.79833,0.81388,0.28657,0.92934,3.58692e-05,3.58692e-05,3.58692e-05
86,4742.09,0.86449,0.36696,0.92029,0.96697,1,0.995,0.79509,0.81438,0.28703,0.92986,3.37605e-05,3.37605e-05,3.37605e-05
87,4799.02,0.85492,0.36444,0.92038,0.96221,1,0.995,0.79358,0.81573,0.28655,0.93,3.16518e-05,3.16518e-05,3.16518e-05
88,4854.62,0.84945,0.33981,0.93125,0.97587,0.98812,0.995,0.79733,0.81443,0.28448,0.92944,2.95431e-05,2.95431e-05,2.95431e-05
89,4908.78,0.87672,0.35913,0.92642,0.97791,0.98789,0.995,0.79635,0.81073,0.28477,0.92869,2.74344e-05,2.74344e-05,2.74344e-05
90,4969,0.86809,0.35064,0.93084,0.9818,0.98332,0.995,0.79697,0.80946,0.28372,0.92822,2.53257e-05,2.53257e-05,2.53257e-05
91,5021.9,0.87541,0.37046,0.9347,0.98335,0.98298,0.995,0.7948,0.80964,0.2821,0.9278,2.3217e-05,2.3217e-05,2.3217e-05
92,5072.85,0.8739,0.36184,0.95033,0.9842,0.98283,0.995,0.79338,0.81098,0.2832,0.92741,2.11083e-05,2.11083e-05,2.11083e-05
93,5124.11,0.87338,0.35307,0.93771,0.98468,0.9827,0.995,0.79495,0.8123,0.28465,0.92747,1.89996e-05,1.89996e-05,1.89996e-05
94,5171.64,0.86652,0.34918,0.94115,0.98516,0.98267,0.995,0.79634,0.81386,0.28678,0.92753,1.68909e-05,1.68909e-05,1.68909e-05
95,5221.3,0.86754,0.35348,0.93378,0.98541,0.98267,0.995,0.79043,0.81473,0.28803,0.92736,1.47822e-05,1.47822e-05,1.47822e-05
96,5270.63,0.86613,0.34585,0.95491,0.98493,0.98273,0.995,0.79189,0.8154,0.28937,0.92737,1.26735e-05,1.26735e-05,1.26735e-05
97,5320.58,0.85694,0.33961,0.94844,0.98459,0.98282,0.995,0.79407,0.81511,0.28713,0.92733,1.05648e-05,1.05648e-05,1.05648e-05
98,5369.01,0.86214,0.35242,0.93174,0.96587,1,0.995,0.79434,0.81406,0.28548,0.92707,8.4561e-06,8.4561e-06,8.4561e-06
99,5416.02,0.87149,0.34938,0.95488,0.96624,1,0.995,0.79397,0.81321,0.2861,0.92681,6.3474e-06,6.3474e-06,6.3474e-06
100,5467.51,0.86851,0.35243,0.96907,0.96579,1,0.995,0.79406,0.81295,0.28551,0.92671,4.2387e-06,4.2387e-06,4.2387e-06
